census_block,provider_id,travel_time_type,travel_time_minutes
CB035,PR002,DRIVING,145.866666666
CB035,PR003,DRIVING,107.183333334
CB035,PR004,DRIVING,67.600000002
CB035,PR005,DRIVING,74.80000000199999
CB035,PR006,DRIVING,64.116666666
CB035,PR007,DRIVING,61.783333332
CB035,PR008,DRIVING,64.133333334
CB035,PR009,DRIVING,69.53333333399999
CB035,PR010,DRIVING,63.266666664000006
CB035,PR011,DRIVING,87.583333332
CB035,PR012,DRIVING,116.766666666
CB035,PR013,DRIVING,48.466666668
CB035,PR014,DRIVING,102.049999998
CB035,PR015,DRIVING,121.79999999999998
CB035,PR016,DRIVING,137.50000000199998
CB036,PR001,DRIVING,162.89999999999998
CB036,PR002,DRIVING,193.416666666
CB036,PR003,DRIVING,154.733333334
CB036,PR004,DRIVING,128.71666666800002
CB036,PR005,DRIVING,119.599999998
CB036,PR006,DRIVING,114.616666668
CB036,PR007,DRIVING,115.316666664
CB036,PR008,DRIVING,116.36666666400001
CB036,PR009,DRIVING,131.466666666
CB036,PR010,DRIVING,99.66666666600001
CB036,PR011,DRIVING,164.68333333200002
CB036,PR012,DRIVING,58.549999998
CB036,PR013,DRIVING,150.733333332
CB036,PR014,DRIVING,59.500000002
CB036,PR015,DRIVING,62.416666668000005
CB036,PR016,DRIVING,82.00000000200001
CB037,PR001,DRIVING,69.100000002
CB037,PR002,DRIVING,99.616666668
CB037,PR003,DRIVING,60.933333336
CB037,PR004,DRIVING,21.516666666
CB037,PR005,DRIVING,34.849999998
CB037,PR006,DRIVING,18.45
CB037,PR007,DRIVING,16.116666666
CB037,PR008,DRIVING,18.466666668
CB037,PR009,DRIVING,23.466666666000002
CB037,PR010,DRIVING,23.299999998
CB037,PR011,DRIVING,56.683333332000004
CB037,PR012,DRIVING,76.81666666800001
CB037,PR013,DRIVING,41.950000002
CB037,PR014,DRIVING,62.099999999999994
CB037,PR015,DRIVING,84.116666664
CB037,PR016,DRIVING,110.216666664
CB038,PR001,DRIVING,149.216666664
CB038,PR002,DRIVING,134.283333336
CB038,PR003,DRIVING,139.283333334
CB038,PR004,DRIVING,127.683333336
CB038,PR005,DRIVING,148.833333336
CB038,PR006,DRIVING,138.16666666799998
CB038,PR007,DRIVING,135.816666666
CB038,PR008,DRIVING,138.16666666799998
CB038,PR009,DRIVING,111.733333332
CB038,PR010,DRIVING,146.449999998
CB038,PR011,DRIVING,92.01666666599999
CB038,PR012,DRIVING,197.449999998
CB038,PR013,DRIVING,122.383333332
CB038,PR014,DRIVING,185.25
